ランク,スコア,会社名,市町村,業種,電話,代表者名※要検証,設立年※要検証,社歴,承継期,周年間近,手紙の型,求人出稿,SNS,メール,HP,法人番号,要クリーンアップ,注意,取得元
S,10,(株)沖創建設,那覇市,不動産・建設,098-866-1007,,1982,44,True,True,A 承継期,True,True,,https://www.okiso.co.jp/,1360001011050,代表者名なし,,indeedhack
S,10,若狭サービス社べんり大工,那覇市,リフォーム会社,098-884-5771,謝敷 竜平,1983,43,True,False,A 承継期,True,False,info@wakasa-s.jp,http://wakasa-s.jp/,,法人番号なし,,ceremony
S,10,（有）沖縄ニューハウスセンター,那覇市,不動産・建設,098-867-8316,饒平名 久美子,1985,41,True,False,A 承継期,True,False,,http://www.onc1.co.jp/,6360002000915,,,ceremony
S,10,（株）協亜建設,糸満市,不動産・建設,098-992-2079,,1986,40,True,True,A 承継期,True,True,,https://www.kyo-a.com/,5360001005313,代表者名なし,,ceremony
S,10,(有)たましろ建設,糸満市,不動産・建設,098-992-3728,,1991,35,True,True,A 承継期,True,True,,https://tsukulink.net/,6360002009196,代表者名なし,,ceremony
S,10,ＫＡＮサービス,那覇市,リフォーム会社,098-941-7773,安里 寛栄,1991,35,True,True,A 承継期,True,True,,http://kan-okinawa.com/,,法人番号なし,,centercall
S,10,沖縄ペイント,那覇市,塗装会社,098-862-7721,與那嶺 毅,1995,31,True,False,A 承継期,True,False,,http://www.okipen.com/,1360001000499,,,indeedhack
S,10,興産アメニティ株式会社,那覇市,リフォーム会社,098-882-1717,比嘉 優貴,2007,19,False,True,B 周年期,True,False,info@suminchu.ne.jp,http://kosanamenity.com/,5360001006352,,,ceremony
S,9,リフォームのHAPPY 那覇支店,那覇市,リフォーム会社,098-988-9428,馬場 順一,1956,70,False,True,B 周年期,True,False,contact@houyuu-kensetsu.com,http://www.houyuu-kensetsu.com/cgi-bin/houyuu-kensetsu/siteup.cgi?category=5&page=0,,法人番号なし,,ceremony
S,9,(株)幸健ホーム,那覇市,リフォーム会社,098-869-8923,玉城 順一,1962,64,False,True,B 周年期,True,False,,http://www.koukenhome.jp/,5360001002789,,,ceremony
S,9,(株) かりゆし,那覇市,リフォーム会社,090-3797-2674,本田 賢紀,1962,64,False,True,B 周年期,True,False,,https://kariyushi-o.jp/,2360005003076,,,ceremony
S,9,沖縄県のオフィス空間創り ｜ 株式会社マルゼン,那覇市,リフォーム会社,098-863-6111,比嘉 基,1966,60,False,True,B 周年期,True,False,,https://okinawa-office-navi.com/,1360001011579,,,ceremony
S,9,株式会社 ASAKA,那覇市,不動産・建設,098-866-6636,浅香 友之,1966,60,False,True,B 周年期,True,False,,http://www.asakajs.com/,3360001000101,,,indeedhack
S,9,(名) 東洋測量,那覇市,不動産・建設,098-832-0390,,1973,53,True,False,A 承継期,True,False,,https://www.toyosurv.tochigi.jp/,7360003001589,代表者名なし,,indeedhack
S,9,沖縄第一不動産(株),那覇市,不動産・建設,098-860-3033,,1974,52,True,False,A 承継期,True,False,,https://goohome.jp/fudousan/realtor/2541/,3360001006866,代表者名なし,,indeedhack
S,9,（有）牧志不動産,那覇市,不動産・建設,098-863-5251,,1974,52,True,False,A 承継期,True,False,,https://goohome.jp/fudousan/realtor/70/,1360002004078,代表者名なし,,ceremony
S,9,（株）大信開発,那覇市,不動産・建設,098-866-1234,,1978,48,True,False,A 承継期,True,True,info@daishin-kaihatu.co.jp,http://www.daishin-kaihatu.co.jp/,2360001001273,代表者名なし,,ceremony
S,9,株式会社大原宅建,浦添市,不動産・建設,098-878-0212,大原 栄和,1980,46,True,False,A 承継期,True,True,,http://oohara-t.com/,8360001010987,,,ceremony
S,9,（株）オキジツ船場,那覇市,リフォーム会社,098-867-1008,宮里 亮,1983,43,True,False,A 承継期,True,True,,http://okijitsu-semba.co.jp/,1360001000631,,,centercall
S,9,株式会社 利興土建,糸満市,不動産・建設,098-894-6355,,1984,42,True,False,A 承継期,True,False,,https://www.rikoudoken.okinawa/,6360001027372,代表者名なし,,ceremony
S,9,（有）沖住設,那覇市,リフォーム会社,098-882-2033,福嶺 博安,1988,38,True,False,A 承継期,True,True,,http://www.okijyusetu.com/,3360002005355,,,centercall
S,9,大京穴吹不動産 沖縄店,那覇市,不動産・建設,098-953-2080,落合 英信,1988,38,True,False,A 承継期,True,False,,https://www.daikyo-anabuki.co.jp/office/okinawa/?utm_source=GMB&utm_campaign=map&utm_term=office&argument=jHMKTWvJ&dmai=a5f74689b954e5,,法人番号なし,,ceremony
S,9,未来開発,那覇市,不動産・建設,098-887-6669,,1988,38,True,False,A 承継期,True,False,,https://www.miraikaihatsu.co.jp/,2360001018929,代表者名なし,,ceremony
S,9,(有)國真住建,那覇市,不動産・建設,098-862-2785,,1990,36,True,False,A 承継期,True,False,,https://www.kensetumap.com/,7360002001508,代表者名なし,,indeedhack
S,9,(株)沖縄合人社,那覇市,不動産・建設,098-869-4302,,1990,36,True,False,A 承継期,True,False,,https://www.gojin.co.jp/group/okinawa/,3360001015891,代表者名なし,,ceremony
S,9,(有)沖縄建装工業,那覇市,リフォーム会社,098-887-6110,向井 芳治,1990,36,True,False,A 承継期,True,True,,https://www.okinawakensou.com/,6360002007943,,,centercall
S,9,（株）財全エステート,浦添市,不動産・建設,0120-816-200,池田 盛作,1993,33,True,False,A 承継期,True,True,,https://zaizen-estate.co.jp/,9360001002744,,,indeedhack
S,9,沖縄県不動産流通機構,那覇市,不動産・建設,098-861-3584,,1994,32,True,False,A 承継期,True,False,,http://okinawa-takken.com/member/ryutukiko_about/,2360005004116,代表者名なし,,indeedhack
S,9,有限会社 デュース,那覇市,不動産・建設,098-951-0661,,1996,30,True,True,A 承継期,False,True,info@duce.co.jp,http://www.duce.co.jp/,5360002005766,代表者名なし,,ceremony
S,9,株式会社あうん工房,那覇市,リフォーム会社,0120-724-152,森本健,2007,19,False,True,B 周年期,True,True,info@aunkoubou.com,http://aunkoubou.com/,4360001015560,,,centercall
S,9,リードハピネス株式会社,浦添市,不動産・建設,098-917-0996,赤嶺 直毅,2011,15,False,True,B 周年期,True,False,,https://leadhappiness.jp/,6360001031218,,,indeedhack
S,9,（株）パーフェクトＭ,那覇市,リフォーム会社,098-996-3869,内間 安邦,2011,15,False,True,B 周年期,True,False,,http://www.perfectm.co.jp/,1360001015150,,,ceremony
S,9,株式会社ここハウス,浦添市,不動産・建設,098-894-2652,小野瀬 雅樹,2011,15,False,True,B 周年期,True,False,,https://www.co-co-house.co.jp/,7360001035523,,,indeedhack
S,9,株式会社デライトハウジング,浦添市,不動産・建設,098-975-7355,松村 宜裕,2017,9,False,True,B 周年期,True,True,info@delight.okinawa,https://www.delight.okinawa/,1360001027526,,,ceremony
S,9,㈱Nice不動産,浦添市,不動産・建設,098-877-0713,普久原 聖,2021,5,False,True,B 周年期,True,True,contact@nice2021.co.jp,https://www.nice-fudousan.com/,8360001029714,,,centercall
S,9,株式会社グランプログレス,那覇市,リフォーム会社,098-917-0333,波平 眞明,2021,5,False,True,B 周年期,True,True,info@granprogress.jp,https://granprogress.co.jp/,8360001029516,,,centercall
S,8,（株）佐平建設,那覇市,不動産・建設,098-851-8352,,1957,69,False,True,B 周年期,True,False,,https://www.sahira.jp/,1360001001027,代表者名なし,,indeedhack
S,8,（株）東洋商会,那覇市,リフォーム会社,098-861-1040,,1962,64,False,True,B 周年期,True,False,,http://toyosok.com/about.php,1360002003022,代表者名なし,,ceremony
S,8,（株）高橋土建 本社,那覇市,不動産・建設,098-862-5188,新垣 隆行,1962,64,False,True,B 周年期,True,True,,http://takahashidoken.com/,2360001001372,,,centercall
S,8,平田観光,石垣市,観光施設・レジャー,0980-82-6711,,1972,54,True,True,A 承継期,True,True,,https://hirata-group.co.jp/,5360001020428,代表者名なし,,indeedhack
S,8,光建設株式会社,糸満市,不動産・建設,098-994-5635,,1973,53,True,False,A 承継期,True,True,,http://www.hikarikensetu.okinawa/,2360001005241,代表者名なし,,ceremony
S,8,(株)照屋土建,糸満市,不動産・建設,098-992-5644,,1973,53,True,False,A 承継期,True,True,,http://www.teruya-doken.com/,5360001005338,代表者名なし,,ceremony
S,8,日本ジタン (株) 沖縄営業所,那覇市,不動産・建設,098-831-5612,,1973,53,True,False,A 承継期,True,False,,http://www.zitan.co.jp/,,法人番号なし / 代表者名なし,,ceremony
S,8,（株）嶺建材,糸満市,不動産・建設,098-851-9995,,1973,53,True,False,A 承継期,True,True,,http://www.minekenzai.co.jp/company/,2360001006495,代表者名なし,,ceremony
S,8,（株）西崎興業,糸満市,不動産・建設,0120-046-313,,1974,52,True,False,A 承継期,True,True,,http://www.nishizaki-k.co.jp/,3360001005348,代表者名なし,,ceremony
S,8,東建コーポレーション 那覇支店 (ホームメイト),那覇市,不動産・建設,098-941-5100,,1974,52,True,False,A 承継期,True,False,,https://www.token-naha.com/,,法人番号なし / 代表者名なし,,indeedhack
S,8,(有) 沖縄磁探総業,那覇市,不動産・建設,098-863-6063,,1978,48,True,False,A 承継期,True,False,,https://okijitan.com/,,法人番号なし / 代表者名なし,,ceremony
S,8,リフォーム専門 タイホウ建設,那覇市,不動産・建設,080-6441-8754,,1978,48,True,False,A 承継期,True,False,,https://taihou55.com/,,法人番号なし / 代表者名なし,,ceremony
S,8,環ハウス（株）,那覇市,不動産・建設,098-831-9293,,1980,46,True,False,A 承継期,True,True,,https://www.tamaki-house.jp/,6360001001385,代表者名なし,,ceremony
S,8,株式会社 タイムス住宅新聞社,那覇市,リフォーム会社,098-862-1155,,1983,43,True,False,A 承継期,True,True,,https://jpress.okinawatimes.co.jp/,6360001007655,代表者名なし,,indeedhack
S,8,（有）仲西宅建,浦添市,不動産・建設,098-874-5941,仲西 浩之,1983,43,True,False,A 承継期,False,False,,http://www.rent-housing.jp/,3360002016550,,,ceremony
S,8,タカラハウス,那覇市,不動産・建設,098-834-7300,,1986,40,True,True,A 承継期,False,True,,https://www.takarahouse4718.jp/,1360001021561,代表者名なし,,ceremony
S,8,(株) 琉信ハウジング,那覇市,不動産・建設,098-868-1000,,1988,38,True,False,A 承継期,True,True,,https://ryuhau.co.jp/,6360001002227,代表者名なし,,ceremony
S,8,（株）住太郎ホーム,那覇市,不動産・建設,098-943-5077,,1989,37,True,False,A 承継期,True,True,,https://www.jyutaro.co.jp/,2360001014259,代表者名なし,,ceremony
S,8,AHC株式会社,糸満市,不動産・建設,098-992-5522,,1990,36,True,False,A 承継期,True,True,,https://www.ahc-map.jp/value/,3360001020173,代表者名なし,,ceremony
S,8,(株)みつわ産業 壺川店,那覇市,飲食・食品,098-836-5353,與那嶺 達啓,1990,36,True,False,A 承継期,True,False,,https://mitsuwa-ind.jp/branch_ja/shop_tsubogawa,6360001002037,,,indeedhack
S,8,(株)ホット沖縄,那覇市,IT・メディア,098-863-2828,白石 武博,1990,36,True,False,A 承継期,True,True,hot-info@hot-okinawa.co.jp,hot-okinawa.co.jp,3360001001925,,,indeedhack
S,8,託一建設株式会社,那覇市,不動産・建設,050-1871-1567,,1993,33,True,False,A 承継期,True,True,,https://takuichi.co.jp/,2360001024233,代表者名なし,,indeedhack
S,8,株式会社 オリジン建設,那覇市,不動産・建設,098-854-6001,,1994,32,True,False,A 承継期,True,True,,https://www.origin-okinawa.co.jp/,5360001016599,代表者名なし,,ceremony
S,8,ハウズイング合人社沖縄（株）,那覇市,不動産・建設,098-860-8590,,2001,25,False,True,B 周年期,True,False,,https://www.gojin.co.jp/group/housing/,4360001017144,代表者名なし,,ceremony
S,8,高倉コーポレーション,那覇市,不動産・建設,098-864-1611,高倉 幸一,2001,25,False,True,B 周年期,True,True,,,6360001015402,,,ceremony
S,8,(有)沖縄総合建設,糸満市,不動産・建設,098-851-7166,,2002,24,False,True,B 周年期,True,False,,https://okinawa2012.com/,9360002008922,代表者名なし,,ceremony
S,8,本気でペイント,那覇市,リフォーム会社,0800-200-0486,玉城 惠美子,2006,20,False,True,B 周年期,True,True,info@honkidepaint.com,http://honkidepaint-tno.com/,,法人番号なし,,ceremony
S,8,本気でペイント,那覇市,リフォーム会社,098-860-8739,玉城 惠美子,2006,20,False,True,B 周年期,True,True,info@honkidepaint.com,http://honkidepaint-tno.com/,,法人番号なし,,centercall
S,8,株式会社 東都企画,那覇市,リフォーム会社,098-951-3737,安里 豊,2007,19,False,True,B 周年期,True,True,,https://tsukulink.net/,9360001005961,,,centercall
S,8,株式会社ブレオ都市開発,那覇市,不動産・建設,098-862-3322,,2011,15,False,True,B 周年期,True,True,info@breo.okinawa,https://breo-rd.co.jp/,5360001024057,代表者名なし,,ceremony
S,8,㈱コンセプション 空間デザインファーム∞パートナーズ,那覇市,リフォーム会社,098-868-8682,平識 伸二郎,2011,15,False,True,B 周年期,True,True,,https://conception.zone/,6360001023628,,,ceremony
S,8,四季彩ペイント,那覇市,リフォーム会社,0120-952-843,島袋 篤,2011,15,False,True,B 周年期,True,True,,https://www.shikisaipaint.jp/,7360001006202,,,centercall
S,8,（公社）沖縄県宅地建物取引業協会,那覇市,不動産・建設,098-861-3402,,2012,14,False,True,B 周年期,True,False,,http://okinawa-takken.com/,5360005000087,代表者名なし,,ceremony
S,8,愛ランドホーム株式会社,糸満市,不動産・建設,098-894-4944,,2012,14,False,True,B 周年期,True,True,info@ailandhome.jp,http://ailandhome.jp/,8360001035679,代表者名なし,,indeedhack
S,8,株式会社ここちホーム,浦添市,不動産・建設,098-975-9033,又吉 拓馬,2016,10,False,True,B 周年期,True,True,,http://cocochi-home.com/,5360001024230,,,ceremony
S,8,合同会社ポスト工務店,那覇市,リフォーム会社,098-851-4142,伊礼 龍也,2021,5,False,True,B 周年期,True,True,,http://www.postkoumuten.sakura.ne.jp/,4360003011112,,,centercall
S,8,（株）喜神サービス 那覇ショウルーム,那覇市,リフォーム会社,098-833-9420,川満 秀吉,2021,5,False,True,B 周年期,True,True,,https://nahashowroom.wixsite.com/kishinservice,6360001007531,,,centercall
S,8,福maruの庭株式会社,那覇市,不動産・建設,098-917-2555,,2022,4,False,True,B 周年期,True,True,info@brilliantport.com,https://www.fukumaru-estate.com/,8360001022438,代表者名なし,,ceremony
S,8,（株）サンニン,沖縄市,リフォーム会社,098-930-6090,田中,,,False,False,B 周年期,True,False,contact@sannin.com,,6360001007861,創業年なし,,centercall
S,8,（株）不動企画,那覇市,不動産・建設,098-836-2292,照喜名 公枝,,,False,False,B 周年期,True,False,fudou@at.au-hikari.ne.jp,https://www.fudoukikaku.com/,6360002003769,創業年なし,,indeedhack
A,7,（株）不動テトラ 沖縄営業所,那覇市,不動産・建設,098-862-7223,奥田 真次,1947,79,False,True,B 周年期,True,True,,https://www.fudotetra.co.jp/company/office/,,法人番号なし,,ceremony
A,7,(株)呉屋組,糸満市,不動産・建設,098-992-2722,,1966,60,False,True,B 周年期,True,True,,http://goyagumi.com/,8360001005319,代表者名なし,,indeedhack
A,7,とくとくハウス (㈱德松産業),糸満市,不動産・建設,098-851-3291,,1974,52,True,False,A 承継期,True,True,,https://tokutokuhouse.jp/?utm_source=GBP&utm_medium=GBP&utm_term=GBP&utm_content=GBP&utm_campaign=GBP,,法人番号なし / 代表者名なし,,ceremony
A,7,HIP-HOP BUS（ジャンボツアーズ）,那覇市,観光バスツアー,098-863-6677,谷村 勝己,1981,45,True,True,A 承継期,False,True,,https://hiphopbus.jumbotours.co.jp/,6360001002375,,,posmane_client
A,7,有限会社 大建不動産商事,那覇市,不動産・建設,098-862-2639,,1983,43,True,False,A 承継期,False,False,,http://www.daiken.okinawa/,7360002005574,代表者名なし,,ceremony
A,7,フレスコアマンションギャラリー,那覇市,不動産・建設,098-868-3955,,1988,38,True,False,A 承継期,True,True,,https://frescore.jp/,,法人番号なし / 代表者名なし,,ceremony
A,7,（株）オクト管理,那覇市,不動産・建設,098-868-0910,,1988,38,True,False,A 承継期,False,False,,http://www.oct8.jp/,1360001014268,代表者名なし,,ceremony
A,7,タマキホーム株式会社,那覇市,不動産・建設,098-831-9285,,1997,29,False,True,B 周年期,True,True,,http://tamaki-home.co.jp/,5360001001386,代表者名なし,,ceremony
A,7,(有)リード企画,那覇市,リフォーム会社,098-884-2651,金城 明,1998,28,False,False,B 周年期,True,True,info@lead-planning.com,http://www.lead-planning.com/,5360002008645,,,centercall
A,7,(有)ソリッドワークス,那覇市,不動産・建設,098-860-4717,上原真二,2000,26,False,False,B 周年期,True,True,info@solidworks-okinawa.com,http://www.solidworks-okinawa.com/,7360002005203,,,indeedhack
A,7,(有)大喜商建,糸満市,不動産・建設,098-995-2313,,2002,24,False,True,B 周年期,True,True,,https://www.big-advance.site/c/172/1363/,5360002009206,代表者名なし,,indeedhack
A,7,アスパル (株),那覇市,リフォーム会社,098-851-4577,本間敏文,2004,22,False,False,B 周年期,True,False,,https://www.asupal.co.jp/,6011701017350,,,ceremony
A,7,（株）てるまさリース,那覇市,不動産・建設,098-943-4355,照屋圭太,2005,21,False,False,B 周年期,True,False,,https://terumasalease.jp/,5360002011095,,,ceremony
A,7,ユーアイホーム,南風原町,リフォーム会社,098-894-4041,高良 盛幸,2005,21,False,False,B 周年期,True,False,info@yu-aihome.com,https://www.yu-aihome.com/,,法人番号なし,,ceremony
A,7,株式会社 ファンスタイル,那覇市,不動産・建設,098-941-3718,,2007,19,False,True,B 周年期,True,True,,https://www.fanstyle.co.jp/,6360001004719,代表者名なし,,indeedhack
A,7,(株)セルリアンブルー,那覇市,IT・メディア,098-941-6828,砂川 盛潤,2007,19,False,True,B 周年期,True,True,info@cerulean-blue.co.jp,https://www.cerulean-blue.co.jp/,1360001006827,,,indeedhack
A,7,（株）創信,浦添市,不動産・建設,0078-60159-948648,安里 英起,2008,18,False,False,B 周年期,True,True,sohshin2688@outlook.com,https://goohome.jp/fudousan/realtor/48/,6360001010584,,,centercall
A,7,パーフェクトメンテナンス,那覇市,リフォーム会社,098-988-6068,内間 安邦,2011,15,False,True,B 周年期,True,True,,https://www.perfectm.co.jp/,,法人番号なし,,centercall
A,7,株式会社 建全,那覇市,不動産・建設,098-988-9012,,2011,15,False,True,B 周年期,True,True,,https://ken-zen.com/,2360001014234,代表者名なし,,ceremony
A,7,（株）はなまるコーポレーション,糸満市,不動産・建設,098-994-7775,,2011,15,False,True,B 周年期,True,True,,http://www.hanamarucorporation.co.jp/,1360001015332,代表者名なし,,indeedhack
A,7,株式会社ホームペイント,那覇市,リフォーム会社,098-917-1844,前里 拳人,2014,12,False,False,B 周年期,True,True,peinto1844@gmail.com,https://www.home-paint.jp/,9360001032403,,,centercall
A,7,STAY沖縄株式会社,那覇市,リフォーム会社,090-6700-6145,,2017,9,False,True,B 周年期,True,True,,https://www.stayokinawa.co.jp/,2360001023061,代表者名なし,,ceremony
A,7,(株) レベルオキナワ,那覇市,リフォーム会社,098-943-2297,奥村 翼,2018,8,False,False,B 周年期,True,False,,https://rebel-okinawa.jp/,4360001023828,,,centercall
A,7,株式会社エージェント沖縄,那覇市,リフォーム会社,098-800-2780,,2021,5,False,True,B 周年期,True,True,,http://agent.okinawa/,1360001029506,代表者名なし,,centercall
A,7,株式会社琉創住建,那覇市,不動産・建設,098-996-2400,,2021,5,False,True,B 周年期,True,True,,https://www.instagram.com/ryuso_juken?igsh=c2d4cHF1OHlxYjB2&utm_source=qr,4360001032630,代表者名なし,,ceremony
A,7,株式会社きよしン家不動産,那覇市,不動産・建設,090-1346-4770,,2021,5,False,True,B 周年期,True,True,,https://kiyoshinchi.okinawa/,8360001030093,代表者名なし,,ceremony
A,7,株式会社リノベース,那覇市,リフォーム会社,098-917-4205,,2021,5,False,True,B 周年期,True,True,,https://campage.jp/fukuchigumi/renove_lp,9360001029473,代表者名なし,,centercall
A,7,福山建設 株式会社,浦添市,リフォーム会社,098-943-6671,湧川 博正,2022,4,False,True,B 周年期,False,False,,https://www.fukukencorp.jp/,1360001030224,,,centercall
A,7,トリアエズ株式会社,浦添市,リフォーム会社,0120-984-271,,,,False,False,B 周年期,True,False,info@toriaezu.co.jp,https://toriaezu.co.jp/,3360001030222,代表者名なし / 創業年なし,,ceremony
A,7,まるなか建設,沖縄市,リフォーム会社,090-2518-4619,仲宗根 茂,,,False,False,B 周年期,True,False,,https://marunaka-kensetsu.jp/?utm_source=GBP&utm_medium=GBP&utm_term=GBP&utm_content=GBP&utm_campaign=GBP,4360001029313,創業年なし,,ceremony
A,7,株式会社 ライフステージ,那覇市,リフォーム会社,098-975-5317,本間裕子,,,False,False,B 周年期,True,False,,https://www.ls-r.co.jp/,4360001026921,創業年なし,,ceremony
A,7,（有）一銀サービス,那覇市,不動産・建設,0120-886-441,,,,False,False,B 周年期,True,False,info@ichigin.co.jp,http://www.ichigin.co.jp/,4360002000371,代表者名なし / 創業年なし,,ceremony
A,7,DESIGN WORKS株式会社,那覇市,リフォーム会社,098-943-1448,菊地真一郎,,,False,False,B 周年期,True,False,,https://www.designworks-okinawa.com/index.html,9360003009861,創業年なし,,indeedhack
A,7,㈲リフォーム施工,宜野湾市,リフォーム会社,098-988-3343,,,,False,False,B 周年期,True,False,office@reform-sekoh.co.jp,http://www.reform-sekoh.co.jp/,3360002017680,代表者名なし / 創業年なし,,centercall
A,7,西工業,沖縄市,リフォーム会社,090-3790-7970,西村 大志,,,False,False,B 周年期,True,False,,https://www.nishikogyo.jp/,3360002016633,創業年なし,,centercall
A,7,株式会社 巧建オキナワ,浦添市,リフォーム会社,098-911-9976,外間 洋平,,,False,False,B 周年期,True,False,,https://kouken-okinawa.co.jp/,3360001022120,創業年なし,,indeedhack
A,7,（株）創造社,那覇市,リフォーム会社,098-887-4792,森根 清充,,,False,False,B 周年期,True,False,,http://www.souzousha.net/,9360001007198,創業年なし,,indeedhack
A,7,株式会社フロントライン那覇支店,那覇市,リフォーム会社,098-988-8105,,,,False,False,B 周年期,True,False,contact@frontline-inc.jp,https://frontline-inc.jp/,2360003007566,代表者名なし / 創業年なし,,ceremony
A,7,株式会社ベストライフ,浦添市,リフォーム会社,098-996-5138,,,,False,False,B 周年期,True,False,info@bestlife.okinawa.jp,http://bestlife.okinawa.jp/,2360001030529,代表者名なし / 創業年なし,,centercall
A,7,ティダ・テラス沖縄,那覇市,リフォーム会社,098-943-9865,狩俣 啓,,,False,False,B 周年期,True,True,tida-terrace@apricot.ocn.ne.jp,https://tida-terrace.wixsite.com/tidaterrace-okinawa,2360001026015,創業年なし,,centercall
A,7,株式会社 カーサプラス,那覇市,リフォーム会社,098-943-6733,本間敏文,,,False,False,B 周年期,True,False,,https://www.casaplus.jp/,2360001018540,創業年なし,,indeedhack
A,7,株式会社ＡＲＣＨＩＳＳ（アーキス）,浦添市,リフォーム会社,098-870-0595,,,,False,False,B 周年期,True,False,info@archiss.co.jp,http://archiss.co.jp/,8360001005822,代表者名なし / 創業年なし,,centercall
A,7,宮里商店,那覇市,リフォーム会社,090-3792-0131,宮里 充由,,,False,False,B 周年期,True,False,,https://miyazato.org/,1360001031206,創業年なし,,indeedhack
A,7,（株）もろみ,沖縄市,リフォーム会社,098-933-5685,仲尾 勝成,,,False,False,B 周年期,True,False,,https://www.moromi-okinawa.com/,7360002012538,創業年なし,,centercall
A,7,琉球不動産コンサルティング株式会社,那覇市,不動産・建設,098-914-4626,輿石 竜馬,,,False,False,B 周年期,True,True,info@ryukyu-rc.com,https://www.ryukyu-rc.com/,7360001031670,創業年なし,,ceremony
A,7,井上工務店,那覇市,リフォーム会社,098-943-5891,井上 健大,,,False,False,B 周年期,True,True,inoue@inoue-ca.com,http://inoue-ca.com/,7360001026489,創業年なし,,indeedhack
A,6,大晋建設 株式会社,那覇市,不動産・建設,098-831-7777,大城 壮司,1950,76,False,False,B 周年期,True,True,,https://www.taishinkensetsu.co.jp/,3360001001272,,,centercall
A,6,(株) 国建,那覇市,不動産・建設,098-862-1106,石嶺 一,1960,66,False,False,B 周年期,True,True,,https://www.kuniken.co.jp/,4360001000827,,,indeedhack
A,6,合資会社沖縄実業 本社,那覇市,不動産・建設,098-867-0145,,1963,63,False,False,B 周年期,True,False,,https://okijitsu.co.jp/,5360003000188,代表者名なし,,ceremony
A,6,（株）ツヅキ沖縄工場,那覇市,リフォーム会社,098-855-8972,都築 宏一郎,1965,61,False,False,B 周年期,True,False,,http://www.tsuzuki-y.co.jp/about04/,,法人番号なし,,ceremony
A,6,先嶋建設株式会社,那覇市,不動産・建設,098-868-1079,,1966,60,False,True,B 周年期,False,False,,https://sakishimakensetsu.jp/,6360001001030,代表者名なし,,ceremony
A,6,（株）与儀組,那覇市,リフォーム会社,098-866-7580,淺沼 義功,1969,57,False,False,B 周年期,True,True,,http://www.yogigumi.co.jp/,6360001002136,,,centercall
A,6,株式会社 松山産業,那覇市,不動産・建設,098-868-1875,,1969,57,False,False,B 周年期,True,False,,https://www.matsuyamasangyo.com/,7360001004684,代表者名なし,,ceremony
A,6,株式会社おもろハウジング,那覇市,不動産・建設,098-869-2208,,1999,27,False,False,B 周年期,True,False,,http://www.omorohousing.co.jp/,2360002005744,代表者名なし,,ceremony
A,6,ドリームハウス沖縄,那覇市,リフォーム会社,0120-217-302,城間 照文,1999,27,False,False,B 周年期,True,False,,http://www.dream-okinawa.net/,,法人番号なし,,ceremony
