許可番号,区分,商号,代表者,郵便番号,市区町村,所在地,電話番号,資本金(千円),法人/個人,許可業種,特定,許可年月日,推定年数下限,業種分類,中南部
47015039,知事,（株）ＲＣワークス,冨岡 昌文,900-0029,那覇市,旭町１１４－４おきでん那覇ビル２階,098-860-1333,40000,法人,建大屋タ内,,R051228,0,建設業（総合）,1
47014553,知事,アールテクノ工業（合）,喜納 瑠久,904-2143,沖縄市,知花５－２９－７,098-989-0303,1000,法人,管,,R040114,0,電気・設備工事,1
47015248,知事,アール塗装,レイノルズ 玲二,904-0105,中頭郡北谷町,字吉原３２１－１,090-9781-1980,,個人,塗,,R061205,0,塗装・防水,1
47012072,知事,アイ・アール（株）,山城 ちずえ,901-0152,那覇市,小禄１－２７－１７ソシアＡ１０１号室,098-973-3241,10000,法人,土と石鋼舗し塗水解,,R040412 R050803,12,建設業（総合）,1
47014124,知事,（株）アイアット,伊芸 淳,901-1116,島尻郡南風原町,字照屋９２,098-996-1160,1000,法人,土建と石鋼舗し水,,R070904,5,建設業（総合）,1
47011535,知事,アイアルミガラス産業,宮里 英治,901-0211,豊見城市,字饒波１５３－１,098-850-7882,,個人,ガ具,,R060608,12,その他専門工事,1
47014212,知事,アイアン,長嶺 司,901-0204,豊見城市,字金良４３６－１,098-955-4055,,個人,鋼具,,R021204,5,その他専門工事,1
47008358,知事,（株）ＩＭＩＣＯＲＰＯＲＡＴＩＯＮ,池田 雅人,900-0011,那覇市,上之屋１－１０－１０,098-867-1149,35000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,1,R031006,20,建設業（総合）,1
47008842,知事,アイクラフト,石原 昌一,903-0118,中頭郡西原町,字小波津５４４－１,098-944-0248,,個人,土大左と石屋タ舗板塗防内具水,,R070927,20,建設業（総合）,1
47011318,知事,アイ建設（株）,奥間 正信,904-2223,うるま市,字具志川９３－１,098-975-8288,1000,法人,土建大と屋管鋼舗防内水解,,R050104,12,建設業（総合）,1
47012017,知事,アイ産業,喜納 清丈,903-0804,那覇市,首里石嶺町４－２２０－１７,098-885-6838,,個人,土建大左と石屋管タ鋼筋舗し板ガ塗防内絶具水,,R031107,12,建設業（総合）,1
47012397,知事,（株）アイ・シー・エス,城間 正樹,902-0067,那覇市,字安里４８,098-868-1539,10000,法人,土と石電管鋼舗し水,,R051209 R060604,12,建設業（総合）,1
47015329,知事,（株）愛心住設,與那嶺 竜也,901-2131,浦添市,牧港２－２２－１０,098-952-3959,300,法人,管,,R070411,0,電気・設備工事,1
47014535,知事,（株）ＥＹＥ’ｓ,大嶺 一幾,901-2127,浦添市,屋富祖１－２－５ コーポ順２階,090-5281-3721,3000,法人,内,,R070210,0,内装工事,1
47012400,知事,（株）Ｉステップ,具志堅 朝一,901-0361,糸満市,字糸満１４４１－２ ヴィルドミールＫ１－Ａ,098-995-3611,3000,法人,内,,R051209,12,内装工事,1
47015347,知事,間鉄筋工業,當間 康司,901-0152,那覇市,字小禄８３９－２,090-4995-1853,,個人,筋,,R070509,0,その他専門工事,1
47013600,知事,（株）愛知建設,新里 富男,901-2203,宜野湾市,野嵩３－２１－７（２０３号）,098-917-5715,5000,法人,土建と石鋼舗し園水,,R051207,8,建設業（総合）,1
47014940,知事,アイチ消火器工業,渡口 精順,901-2212,宜野湾市,長田１－１－１,098-896-0581,,個人,消,,R050714,0,電気・設備工事,1
47002978,知事,（有）あいち設備工業,喜屋武 信彦,901-2206,宜野湾市,愛知２－４－２０－１０３ １Ｆ,098-892-7611,3000,法人,管,,R040709,35,電気・設備工事,1
47011528,知事,（株）アイデアル,井手 英夫,901-2226,宜野湾市,嘉数１－３－８,098-942-8104,6000,法人,建大屋タ内,,R041024,12,建設業（総合）,1
47014329,知事,Ｉ ＴＥＣ（株）,宇良 定美,904-2213,うるま市,字田場１６４４－１１,098-973-0866,2000,法人,大とタ鋼筋解,,R030514,5,その他専門工事,1
47011644,知事,（有）あい電設,金城 英次,904-2242,うるま市,字高江洲６８９－７,098-975-0979,3000,法人,管,,R061204,12,電気・設備工事,1
47014450,知事,（株）ＡＩ．Ｐｒｏ,有本 幸士,901-2304,中頭郡北中城村,字屋宜原７１７－１－２０１,098-933-7155,3000,法人,消,,R030913,0,電気・設備工事,1
47014759,知事,（合）ＩＰＷＯＲＫＳ,新垣 直樹,901-0322,糸満市,字与座１２１６,098-996-4312,2500,法人,建大屋タ内,,R041104,0,建設業（総合）,1
000028280,大臣,（株）アイム・ユニバース建設,藍川 眞樹,901-2114,浦添市,安波茶２－１－２,098-988-1168,100000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水,1,R030928,,建設業（総合）,1
47011632,知事,（株）アイムホーム,三家本 真大,904-0103,中頭郡北谷町,桑江１－７－１２,098-989-1659,20000,法人,建大左と石屋タ鋼筋板ガ塗防内絶具,1,R061029,12,建設業（総合）,1
47015261,知事,（株）アイムホームパートナーズ,伊佐 忠次,904-0103,中頭郡北谷町,桑江１－７－１２,098-989-1659,5000,法人,建大左と石屋タ鋼筋板ガ塗防内絶具解,,R061227,0,建設業（総合）,1
47014228,知事,（有）Ｉ ＬＩＦＥ地建,山田 麻紀乃,906-0104,宮古島市,城辺字比嘉８８４－２,090-4511-9168,18000,法人,土建と石電管鋼舗園水,,R021225,5,建設業（総合）,
47012709,知事,（株）アイランドエコロジー,黒島 広正,907-0001,石垣市,字大浜４１５－１１,0980-87-5680,10000,法人,建電管,,R070320 R070324,12,建設業（総合）,
47015376,知事,ＩＳＬＡＮＤＳＣＡＰＥ（株）,池田 和法,906-0015,宮古島市,平良久貝８８４－６,090-3650-8560,5000,法人,建大屋タ鋼内,,R070620,0,建設業（総合）,
47014211,知事,（株）アイランド総合メンテナンス,新里 幸盛,906-0203,宮古島市,上野字宮国９０７,0980-76-6405,10000,法人,土と石鋼舗し園水,,R021204,5,建設業（総合）,
47015236,知事,（株）アイ冷機サービス,古波藏 功,901-2406,中頭郡中城村,字当間６１,098-894-9538,3000,法人,管,,R061113,0,電気・設備工事,1
47013739,知事,（合）ＡＩＷＡ沖縄,豊見山 徹,906-0013,宮古島市,平良字下里６２９－２,0980-73-0138,1000,法人,筋,,R060705,5,その他専門工事,
47012296,知事,アイワ企画（株）,石川 航,904-1115,うるま市,石川伊波９９３,098-911-8014,20000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,1,R030910 R050604,12,建設業（総合）,1
47012382,知事,（有）アイワ技研,島袋 賢,901-2412,中頭郡中城村,字奥間１５２,098-895-1966,3000,法人,土と電管舗水,,R051107,12,建設業（総合）,1
47013027,知事,（株）あうん工房,森本 健,902-0066,那覇市,大道９０－４,098-995-9326,3000,法人,建大屋タガ塗防内具,,R030804,8,建設業（総合）,1
47012529,知事,葵組,伊江 太作,903-0125,中頭郡西原町,上原２－２５－１４,098-944-4020,,個人,大と,,R070612,12,その他専門工事,1
47015110,知事,あおい建装（株）,宮城 卓朗,901-1414,南城市,佐敷字津波古４２４－２,098-947-0578,1000,法人,塗防,,R060419,0,塗装・防水,1
47013134,知事,（株）ＡＯＩ建築工房,丹山 実,906-0012,宮古島市,平良字西里１０－３ 比嘉ビル１Ｆ,0980-79-0937,500,法人,建大内,,R040112,8,建設業（総合）,
47006613,知事,（有）あおい設備工業,津覇 馨,903-0804,那覇市,首里石嶺町４－４１８－２０,098-884-1644,3000,法人,土建と石管舗水,,R030703,28,建設業（総合）,1
47013561,知事,碧城建設（株）,金城 操,904-2172,沖縄市,泡瀬４－３０－９,098-989-5207,1000,法人,建大屋タ内,,R050928,8,建設業（総合）,1
47013774,知事,（有）碧凰建設,上原 律江,904-2154,沖縄市,東２－４－１ なのはな１０５号室,098-989-1895,3000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,,R060906,5,建設業（総合）,1
47012655,知事,（株）あおぞらコーポレーション,日高 清仁,903-0125,中頭郡西原町,上原１－１３－２２－２Ｆ,098-870-3773,15000,法人,大と,,R070522,12,その他専門工事,1
47013598,知事,（合）あおぞら電設,伊藤 嘉寛,901-1117,島尻郡南風原町,字津嘉山１３０８－２マハロ４０２,070-5814-3231,1000,法人,電,,R051207,8,電気・設備工事,1
47009748,知事,（有）あおば建設,大石根 正晃,904-2303,うるま市,与那城１６３,098-978-8940,10000,法人,土と石鋼舗水解,,R041224,20,建設業（総合）,1
47008307,知事,（有）あかつき衛生,新垣 正和,902-0074,那覇市,仲井真２０５－３,098-853-5004,10000,法人,管,,R041009,20,電気・設備工事,1
47007298,知事,（有）阿嘉電水設備,阿嘉 和子,905-0214,国頭郡本部町,字渡久地１７０－１,0980-47-2943,5000,法人,土建と石電管鋼舗水,,R040205,28,建設業（総合）,
47014927,知事,（株）ａｋａｎｅ電気土木,瀬名波 翔太,905-1156,名護市,字古我知６２６－２２,0980-59-5713,5000,法人,土と石電鋼舗し塗水消,,R050707,0,建設業（総合）,
47010051,知事,（有）赤嶺光一材木,赤嶺 賢吾,900-0025,那覇市,壺川２－１３－３４,098-853-1383,10000,法人,建大具,,R030417,15,建設業（総合）,1
47005193,知事,赤嶺工業（株）,赤嶺 悟,904-2215,うるま市,みどり町６－１５－５,098-972-6622,10000,法人,土建と石管舗機水,,R030711,35,建設業（総合）,1
47013352,知事,（合）赤嶺設備,赤嶺 盛男,901-0224,豊見城市,字与根２１２－３０,098-850-0914,300,法人,管,,R041108,8,電気・設備工事,1
47004007,知事,（有）赤嶺総合造園,赤嶺 良治,901-0223,豊見城市,字翁長８６９－９,098-850-3466,40000,法人,土と石舗園水,1,R040815,35,建設業（総合）,1
47011536,知事,東江開発（株）,東江 勝,904-2143,沖縄市,知花５－３９－３,098-979-6170,29500,法人,土建と石鋼舗し塗園水解,1,R050628,12,建設業（総合）,1
47008326,知事,（株）東江ガス,東江 成美,901-2132,浦添市,伊祖３－３２－５,098-877-2515,25000,法人,管,,R030820,20,電気・設備工事,1
47014678,知事,（株）東江組,東江 紀幸,901-0304,糸満市,西川町１８－１３、１階,098-995-9541,5000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,,R040722 R050523 R060517,0,建設業（総合）,1
47003904,知事,（株）東江建設,東江 丈二,901-2121,浦添市,内間１－１０－７,098-877-1373,100000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,1,R041009,35,建設業（総合）,1
47006147,知事,（株）東江鉄筋工業,東江 浩也,904-2235,うるま市,字前原７６－６,098-974-2170,1000,法人,筋,,R050615,28,その他専門工事,1
47002719,知事,（株）東江電気工事,東江 清隆,904-0204,中頭郡嘉手納町,字水釜６－５－１８,098-956-2298,30000,法人,土と石電管鋼舗し塗水解,1,R041102 R070122,35,建設業（総合）,1
47009871,知事,（有）東江ポンプ,東江 正人,902-0073,那覇市,字上間３３８,098-836-7740,5000,法人,土と石管鋼舗機井水消,,R070606,20,建設業（総合）,1
47008054,知事,（株）東崎興業,仲里 一也,903-0105,中頭郡西原町,字東崎４－６,098-946-0173,10000,法人,土と石舗し水,,R050116,20,建設業（総合）,1
47015031,知事,（合）東桃原土建,桃原 巧,904-2425,うるま市,与那城桃原１２２,098-977-7550,500,法人,土と石鋼舗し水解,,R051222,0,建設業（総合）,1
47013936,知事,（株）東山エンジニア,前田 秀和,904-1106,うるま市,石川１－４４－２４,098-965-4719,1000,法人,管,,R070403,5,電気・設備工事,1
47013716,知事,ＡＫＩ（株）,宮城 俊介,901-2403,中頭郡中城村,字伊舎堂６４７－３、１Ｆ,098-917-5671,3000,法人,大左石屋タ板ガ塗防内絶具,,R060625,5,塗装・防水,1
47014960,知事,明壱工業,辺土名 将一,901-2204,宜野湾市,上原２－１３－１１ 比嘉アパートＡ－１,098-963-6086,,個人,筋,,R050901,0,その他専門工事,1
47013039,知事,（株）暁組,前泊 みどり,901-2422,中頭郡中城村,字新垣１８９２－１,098-895-7051,3000,法人,土建大と石タ鋼筋舗し水,,R030822,8,建設業（総合）,1
47008232,知事,（有）秋建設,伊計 高秋,901-2316,中頭郡北中城村,字安谷屋２０５－１,098-923-3820,30000,法人,土建大と石屋タ鋼舗内水解,1,R030408,20,建設業（総合）,1
47009548,知事,（有）昭建設,金城 昭一郎,905-1412,国頭郡国頭村,字奥間３３７－１７,0980-41-3034,25000,法人,土建大左と石屋管タ鋼筋舗しガ塗防内園具水解,1,R050309 R070818,20,建設業（総合）,
47009758,知事,（有）明城建設,金城 恒雄,901-2111,浦添市,字経塚４１７,098-876-6063,20000,法人,建,,R060519,20,建設業（総合）,1
47013250,知事,（株）朗建設,安次嶺 盛朗,902-0074,那覇市,字仲井真２９４－２ 前平アパート３０１,098-987-4270,5000,法人,建,,R040718,8,建設業（総合）,1
47013287,知事,（株）明・輝・建設,田場 直明,904-2301,うるま市,与那城照間１６９４,098-989-1265,5000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,,R040823,8,建設業（総合）,1
47012588,知事,（株）明工業,辺土名 洋明,901-2422,中頭郡中城村,字新垣１８９６－１,098-963-9426,2000,法人,筋,,R061006,12,その他専門工事,1
47012771,知事,明工業（株）,比嘉 直明,901-2205,宜野湾市,赤道２－８－２８,098-911-0200,1000,法人,内,,R070626,12,内装工事,1
47011837,知事,アキコーポレーション,黒島 永昭,901-2101,浦添市,西原１－１９－１６又吉荘Ｂ棟１０１,098-975-5068,,個人,土建大と石舗内水,,R070930,12,建設業（総合）,1
47010820,知事,明ステンレス工業,大城 敏明,905-1154,名護市,字呉我６９７－１,0980-58-3011,,個人,鋼,,R070511,15,その他専門工事,
47014013,知事,あき畳店,宮国 良明,901-2121,浦添市,内間５－６－５,098-877-4399,,個人,内,,R070612,5,内装工事,1
47014358,知事,（株）アキテクノ,我謝 宗昭,903-0117,中頭郡西原町,字翁長６１７－２ １Ｆ,098-988-4633,3000,法人,建,,R030611,5,建設業（総合）,1
47013037,知事,（株）昭電気工事,上原 昭人,901-0361,糸満市,字糸満５９８,098-994-3711,3000,法人,電,,R030822,8,電気・設備工事,1
47012837,知事,（合）昭浩建設,宮里 正昭,904-1201,国頭郡金武町,字金武３９９３,098-923-5795,2000,法人,土と石電鋼舗し水解,,R060508,12,建設業（総合）,
47012463,知事,（株）明正電設,伊波 明正,904-1106,うるま市,石川２－３６－１５,098-965-1270,5000,法人,土と石電管鋼舗し水,,R060313,12,建設業（総合）,1
47013891,知事,（株）アキラ,仲地 宗史,901-2222,宜野湾市,喜友名１－３０－１,098-893-5515,10000,法人,建解,,R070207,5,建設業（総合）,1
47012170,知事,（合）聖企画,眞保榮 豊,901-0512,島尻郡八重瀬町,字具志頭３１４－５,098-998-8702,5000,法人,電,,R041011,12,電気・設備工事,1
47013427,知事,章電設（株）,島袋 章,904-2166,沖縄市,古謝津嘉山町８－１,098-939-7141,8000,法人,建電,,R050328,8,建設業（総合）,1
47013736,知事,（株）アクア,砂川 英明,903-0128,中頭郡西原町,字森川１６６,098-882-8101,3000,法人,土建と石鋼舗し塗水,,R060529,5,建設業（総合）,1
47013826,知事,アクア防災工業（株）,座間味 和哉,904-2173,沖縄市,比屋根６－８－３４,098-989-1563,10000,法人,管消,,R061115,5,電気・設備工事,1
47011579,知事,（有）アクシア技検,德村 智,904-2224,うるま市,字大田５８０－１,098-989-7419,3000,法人,電,,R060812,12,電気・設備工事,1
47011431,知事,（有）アクシス,野原 正孝,900-0004,那覇市,銘苅１－２－１ハビテーションマルカ１０３,098-951-3792,3000,法人,建大屋タ内,,R051008,12,建設業（総合）,1
47010150,知事,（有）アクセス,平良 聡一郎,907-0022,石垣市,字大川１５３６－１６,0980-88-7158,5000,法人,土と石鋼舗し水解,,R030802,15,建設業（総合）,
47014299,知事,（株）Ａｃｃｅｓｓ Ｅｎｇｉｎｅｅｒ’Ｔ,仲宗根 龍温,904-2153,沖縄市,美里３－７－１１,098-989-0152,1110,法人,管,,R030409,5,電気・設備工事,1
47013582,知事,アクセス沖縄,大城 善昭,901-0202,豊見城市,字嘉数４６７,098-987-0703,,個人,土と石鋼舗水,,R051116,8,建設業（総合）,1
47014315,知事,（株）アクタス産業,砂川 豊藏,901-0306,糸満市,西崎町５－１０－１６,098-994-8866,10000,法人,大左石屋タ板ガ塗防内絶具,,R030423,5,塗装・防水,1
47014750,知事,（株）ａｃｔｉｖｅ,野原 篤,901-1104,島尻郡南風原町,字宮平６２７－２０２,098-911-5855,3000,法人,通,,R041021,0,電気・設備工事,1
47005538,知事,アクティブ工業（株）,比嘉 良仁,901-2121,浦添市,内間５－４－７,098-878-6347,20000,法人,土と石管鋼舗し塗機水消清,1,R060913,35,建設業（総合）,1
47015019,知事,（株）ＡＣＴ,新垣 光也,901-1115,島尻郡南風原町,字山川３７４,090-1362-7306,1000,法人,管,,R051208,0,電気・設備工事,1
47004309,知事,粟國建設（株）,粟國 浩榮,901-2112,浦添市,沢岻１－４７－１９,098-877-8049,8000,法人,大,,R031020,35,その他専門工事,1
47013088,知事,アクロス琉球（株）,首里 淳治,904-2153,沖縄市,美里３－２４－７コーラルリーフ１０５,098-987-8611,14000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,,R031031,8,建設業（総合）,1
47001938,知事,アゲダ空調食品設備（株）,安村 順司,901-2316,中頭郡北中城村,字安谷屋１４５３,098-935-3600,42600,法人,電管,1,R070731,35,電気・設備工事,1
47014643,知事,安慶名技建（株）,安慶名 盛政,904-0011,沖縄市,照屋１－３３－１２,098-959-9701,1000,法人,土と石鋼舗し水解,,R040603,0,建設業（総合）,1
47013669,知事,（合）安慶名重機,安慶名 勝之,901-0412,島尻郡八重瀬町,字上田原２－１,098-959-6176,300,法人,土と石管鋼舗し水解,,R060509,8,建設業（総合）,1
47014353,知事,（株）安慶名土建,安慶名 要市,904-2241,うるま市,字兼箇段１０７９－２ コーポＹＫ２０１,098-989-8153,5000,法人,土と石鋼舗し水解,,R030618,5,建設業（総合）,1
47001805,知事,（有）曙開発,仲村 英明,901-0406,島尻郡八重瀬町,字屋宜原５２７－１０,098-998-5987,10000,法人,土建と石管舗し園水,,R040608,35,建設業（総合）,1
47014092,知事,曙電機,楚南 智晴,900-0003,那覇市,安謝２５３－３,098-863-5421,,個人,電,,R020814,5,電気・設備工事,1
47014378,知事,曙電気設備,宮城 茂,904-1107,うるま市,石川曙２－１６－４８,098-965-2294,,個人,電,,R030702,5,電気・設備工事,1
47012289,知事,阿浩組,名嘉 徳浩,901-2113,浦添市,大平１－１４－１５－１０５,098-875-0469,,個人,と,,R050531,12,その他専門工事,1
47009760,知事,（有）阿香建設,志喜屋 勉,907-0023,石垣市,字石垣４３０－１７,0980-83-0225,5000,法人,土と石鋼舗し水,,R061203,20,建設業（総合）,
47004731,知事,（有）安護建設工業,安護 宗成,905-0211,国頭郡本部町,字東１１９,0980-47-2894,20000,法人,土建大左と石屋電管タ鋼筋舗し塗防内園具水解,1,R070210,35,建設業（総合）,
47012510,知事,（株）浅商,浅田 義則,901-0223,豊見城市,字翁長８５３－５,098-850-5545,5000,法人,土と石鋼舗し塗水解,,R060526,12,建設業（総合）,1
47015313,知事,（株）アサト,安里 晴夫,901-2128,浦添市,伊奈武瀬１－４－９,098-862-8734,1000,法人,防,,R070314,0,塗装・防水,1
47001480,知事,安里ガラス店,安里 正三,901-0306,糸満市,西崎町５－９－１０,098-994-6631,,個人,ガ,,R030227,35,その他専門工事,1
47013847,知事,（株）アサト技研,安里 保,904-2165,沖縄市,宮里４－３２－２９,098-937-1879,5000,法人,管,,R061206,5,電気・設備工事,1
47011531,知事,安里組,安里 讓二,900-0024,那覇市,古波蔵１－８－７アンリマンション３０２,098-853-6070,,個人,と,,R060603,12,その他専門工事,1
47014424,知事,安里組,安里 悟,904-2215,うるま市,みどり町１－１２－４,098-973-3530,,個人,土建大と石鋼舗し水,,R030813 R031223,0,建設業（総合）,1
47009379,知事,安里建設,安里 清,904-2311,うるま市,勝連南風原４３２８,098-978-3273,,個人,建大,,R050107,20,建設業（総合）,1
47009668,知事,安里建設,上原 清一,900-0012,那覇市,泊１－１１－５ 中山アパート２０１,098-863-2526,,個人,タ,,R060624,20,その他専門工事,1
47011782,知事,安里工業,安里 靖,904-2236,うるま市,喜仲１－５－３３,098-973-0857,,個人,管,,R070624,12,電気・設備工事,1
47014059,知事,安里工務店,安里 和記,904-0103,中頭郡北谷町,字桑江６４６－３ 玉那覇アパート２０３,098-921-7860,,個人,大,,R020717,5,その他専門工事,1
47010693,知事,（株）安里造園土木,安里 卓,905-0211,国頭郡本部町,字東４８４－１,0980-47-3921,4500,法人,土と石鋼舗し園水,,R060630,15,建設業（総合）,
47007450,知事,（有）アサト電気,安里 昌廣,901-1303,島尻郡与那原町,字与那原１１５１－２,098-945-1988,20000,法人,土と石電管鋼舗し水消,1,R051023,28,建設業（総合）,1
47014699,知事,（合）安里電気工事,安里 稔,901-2311,中頭郡北中城村,字喜舎場２３１,098-935-2731,1000,法人,電,,R040805,0,電気・設備工事,1
47015055,知事,安里塗装工業,安里 健,904-2142,沖縄市,字登川３８８,098-911-3417,,個人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水,,R060202,0,建設業（総合）,1
47013840,知事,（株）朝野工業,福原 侑希,904-1201,国頭郡金武町,字金武４３１２,098-989-7285,5000,法人,左,,R061129,5,その他専門工事,
47004874,知事,（株）朝日,朝日 睦雄,901-0301,糸満市,字阿波根５４５－５,098-995-2020,30000,法人,建大と屋タ鋼内,1,R040401 R040902,35,建設業（総合）,1
47007738,知事,（株）アサヒ,福重 勉,900-0012,那覇市,泊２－１－１１,098-869-5990,49000,法人,土大左と石屋電管タ鋼舗し板ガ塗防内絶具水,,R031106,28,建設業（総合）,1
47012752,知事,（有）あさひ,下地 弘晃,906-0012,宮古島市,平良字西里５８３,0980-72-3325,10000,法人,建大左と石屋タ鋼筋板ガ塗防内絶具解,,R060620,12,建設業（総合）,
47010883,知事,（有）アサヒエンジニア,比嘉 初枝,904-0202,中頭郡嘉手納町,屋良１－１１－８,098-921-5354,5000,法人,土建と石電管舗水消,,R070829,15,建設業（総合）,1
47013608,知事,（有）アサヒエンジニアリング,識名 陽之,901-1104,島尻郡南風原町,字宮平８５,098-888-1155,3000,法人,管,,R051214,8,電気・設備工事,1
47000596,知事,旭建設（株）,奥田 貴光,904-0112,中頭郡北谷町,字浜川４８,098-936-2267,49000,法人,土建大左と石屋タ鋼筋舗し板ガ塗防内絶具水解,1,R030501,35,建設業（総合）,1
47001766,知事,（株）朝日建設工業,狩俣 政吉,906-0007,宮古島市,平良字東仲宗根８２１－１０,0980-72-7636,40000,法人,土建と石電管鋼舗し園水消,1,R060818,35,建設業（総合）,
47009781,知事,（有）朝日建設工業,池村 昭男,904-0105,中頭郡北谷町,字吉原７１６－３２,098-923-1375,3000,法人,土と石管鋼舗水,,R061227,20,建設業（総合）,1
47010374,知事,朝日工業（株）,照屋 清正,901-0306,糸満市,西崎町５－１０－１７,098-840-3311,30000,法人,建大左と石屋タ鋼筋板ガ塗防内絶具解,1,R051227 R070117,15,建設業（総合）,1
47009614,知事,（有）朝日興業企画,喜瀬 朝夫,905-0021,名護市,東江５－９－２３,0980-52-1588,5000,法人,建大と電タ鋼筋,,R050210,20,建設業（総合）,
47010879,知事,（有）旭日工芸,宮城 ますみ,901-1203,南城市,大里字大城２３１６－２,098-946-9221,3000,法人,土建大左と石屋タ舗板ガ塗防内絶具,,R070812,15,建設業（総合）,1
47002737,知事,（資）朝日産業,照屋 正,904-0301,中頭郡読谷村,字座喜味１９０７－３,098-956-1232,8000,法人,土建大と石屋タ鋼舗し内水,,R020810,35,建設業（総合）,1
47015448,知事,朝日穿孔,儀間 正利,901-1112,島尻郡南風原町,字本部４３４－１９ Ｄ－７６,098-917-0019,,個人,と,,R070912,0,その他専門工事,1
47012193,知事,（株）旭造園,安慶名 勝,904-2223,うるま市,字具志川２０３,098-989-8121,1000,法人,園,,R041206,12,その他専門工事,1
47014573,知事,（株）旭タイル商会,玉城 里志,901-2126,浦添市,宮城６－５－１３,098-877-5983,3500,法人,土と石タ鋼舗し水,,R040311,0,建設業（総合）,1
47001637,知事,旭電気工事社,堀川 勲,904-2214,うるま市,安慶名３－５－１３,098-972-5656,,個人,電,,R070713,35,電気・設備工事,1
47014431,知事,アサヒ電工,伊芸 清政,904-1201,国頭郡金武町,字金武５５３２,098-989-9908,,個人,電,,R030813,0,電気・設備工事,
